puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
cihnpomebfdljgak,disjoint-database,53,drurddluuulddrrruulddrulddlluurdlurrdrdluruullldrddrr,45,114.604,73561,641871,5
dekljfhgbicpnmoa,disjoint-database,51,uulddldrruuulldldrrdruulddllururulldrrulldrrrulddrd,39,62.834,37816,601840,7
khjeianmflcgdopb,disjoint-database,63,uurddllluururrdddlulurrdlluurdlulddrdluurddrrululurdldruruldrdd,49,5832.18,3493529,599010,8
cpilkdfnegohbmja,disjoint-database,49,ddldrruuuldldrurdruulddrdluruldlurulldrrullddrdrr,45,5.483,2546,464344,3
pafecghijodbklmn,disjoint-database,50,rrdrdllururddllulurrrdllulddrdluururddldrrullldrrr,44,28.412,16771,590279,4
hmjipfelcknadbog,disjoint-database,61,ddruuuldddruuldrdlurrrdlluruulddrruullldrrrulllddrurdluldrrdr,51,376.464,233435,620073,6
eljacgfomdbkpnih,disjoint-database,47,rrruuldluurrdllurrdlddruuldldlurulurrrdllurdddr,41,23.101,14512,628198,4
adgihkcmojefpbnl,disjoint-database,53,uurrrulldrdllurrdldluurrrdluldrdllurrurulldrrddllurdr,41,528.915,340802,644342,7
ldkgfphcoibmaejn,disjoint-database,54,lurdlddrurullddrrurdluululdrddrurdluuuldlddrruuruldrdd,44,528.887,348516,658961,6
pklgajhdbncfiemo,disjoint-database,40,drrurdldldruruuldlurrdlldlurdruulddldrrr,32,13.212,6865,519603,5
hepnladgomcfbijk,disjoint-database,52,dddluluurddldrurdlurruuldlldrrullurddrruldrdluldrurd,42,48.848,31175,638204,6
mkhobidcplajgfen,disjoint-database,52,drrruuulddruulddluurdllurdlddruulddrrruldlurullddrrr,44,30.305,17707,584293,5
ebcfgdlaknhjimpo,disjoint-database,43,uuurdllurrdllurddlldrurdluulurrrdldrulldrdr,35,18.032,10905,604758,5
glfopbmjhdeknaic,disjoint-database,55,rddrruuulllddrrulldrrrulurdlldrdruuldluurdlulddrdlurrdr,47,44.602,27512,616833,5
gpbdcaihmonjkefl,disjoint-database,35,ldrrulldrrdldruuuldddluurdrrdllurdr,31,2.479,1169,471561,3
phgnolkjdiacebfm,disjoint-database,62,dddrurruuldldrdruululdlurdlddrrruulldldrrruuullddrurulldddrurd,52,669.515,439084,655824,6
ejfnpkgbhmcdaloi,disjoint-database,57,urdrddluuurdruldrdldrululdldrruldrrulullurdldruuldrurrddd,43,813.823,537373,660307,8
nladompgjcihfbke,disjoint-database,53,uldddluuurdruldddluuurddrurddlurdllluurdrdlluruldrrrd,41,572.878,386365,674428,7
hljdkgecbifmnoap,disjoint-database,60,uluuldldrururdlddlurrdllluruulddrurulldrdrrulurdlldrdluldrrr,44,11424.2,7756743,678973,9
glikpmjhoafcnbed,disjoint-database,53,druurdlldrdruululdrddruurddluuurddluuldddluurdruurddd,45,63.063,35194,558077,5
fdmpngahbjciolke,disjoint-database,49,dddlluuruldrdruulddllurrdrdllluurdrdlluuurdldrrrd,41,13.071,6710,513350,5
